user_id,quiz_id,overall_accuracy,mcq_accuracy,subjective_score,consistency,attempted_ratio,avg_time_spent,avg_difficulty
u1165,q1165,0.37,0.5,0.24,0.29,0.1,132.0,1
u6061,q6061,0.73,0.77,0.79,0.61,0.86,51.0,2
u5730,q5730,0.52,0.55,0.58,0.69,0.91,38.0,2
u9714,q9714,0.87,0.92,0.8,0.86,0.98,32.0,3
u98,q98,0.42,0.43,0.39,0.41,0.35,107.0,1
u523,q523,0.29,0.33,0.16,0.34,0.79,27.0,1
u7988,q7988,0.73,0.84,0.53,0.45,0.79,29.0,2
u893,q893,0.44,0.51,0.18,0.21,0.53,141.0,2
u7857,q7857,0.61,0.59,0.52,0.67,0.97,29.0,3
u9469,q9469,0.91,0.89,0.84,0.85,1.0,39.0,3
u1214,q1214,0.3,0.49,0.02,0.34,0.58,16.0,2
u8188,q8188,0.88,0.97,0.71,0.82,0.99,41.0,3
u5756,q5756,0.74,0.75,0.8,0.68,0.82,53.0,2
u813,q813,0.39,0.54,0.17,0.27,0.68,136.0,1
u4235,q4235,0.8,0.73,0.69,0.76,0.78,98.0,2
u8818,q8818,0.88,0.88,0.86,0.88,0.96,28.0,3
u1240,q1240,0.47,0.56,0.29,0.25,0.77,22.0,1
u1698,q1698,0.38,0.33,0.49,0.19,1.0,19.0,1
u3812,q3812,0.84,0.82,0.66,0.7,0.89,62.0,2
u5878,q5878,0.96,0.88,0.92,0.55,0.96,63.0,1
u2173,q2173,0.29,0.37,0.24,0.44,0.36,39.0,1
u4629,q4629,0.56,0.52,0.52,0.74,0.98,75.0,3
u5643,q5643,0.55,0.79,0.41,0.66,0.93,67.0,3
u7076,q7076,0.76,0.62,0.99,0.58,0.87,47.0,2
u3795,q3795,0.69,0.64,0.46,0.76,0.78,52.0,2
u6630,q6630,0.73,0.72,0.71,0.72,0.82,20.0,2
u8260,q8260,0.91,0.84,0.83,0.84,0.99,38.0,2
u9466,q9466,0.93,0.91,0.96,0.84,1.0,65.0,3
u575,q575,0.39,0.48,0.11,0.42,0.68,31.0,1
u2999,q2999,0.39,0.43,0.37,0.3,0.58,30.0,1
u4979,q4979,0.61,0.75,0.38,0.69,1.0,64.0,2
u56,q56,0.38,0.49,0.17,0.63,0.46,131.0,1
u5929,q5929,0.58,0.72,0.62,0.78,0.91,66.0,1
u7456,q7456,0.6,0.51,0.6,0.68,0.92,72.0,2
u100,q100,0.45,0.38,0.39,0.29,0.5,124.0,1
u8447,q8447,0.85,0.85,0.84,0.89,0.98,41.0,3
u3335,q3335,0.67,0.5,0.79,0.58,0.85,57.0,2
u7871,q7871,0.56,0.57,0.49,0.79,0.76,50.0,2
u2782,q2782,0.33,0.34,0.2,0.54,0.48,116.0,1
u8462,q8462,0.86,0.93,0.82,0.83,0.99,36.0,2
u5582,q5582,0.71,0.62,0.92,0.54,0.91,82.0,2
u3530,q3530,0.53,0.56,0.43,0.65,0.93,84.0,2
u1051,q1051,0.31,0.34,0.19,0.55,0.25,142.0,1
u4909,q4909,0.64,0.56,0.72,0.65,0.82,66.0,2
u694,q694,0.45,0.46,0.46,0.47,0.55,31.0,1
u1161,q1161,0.18,0.15,0.3,0.44,0.3,21.0,1
u9213,q9213,0.9,0.82,0.95,0.87,0.95,19.0,3
u1718,q1718,0.42,0.42,0.48,0.58,0.75,159.0,1
u3408,q3408,0.75,0.63,0.89,0.61,0.8,76.0,2
u3574,q3574,0.67,0.66,0.62,0.79,0.99,62.0,2
u8417,q8417,0.76,0.94,0.61,0.91,0.97,43.0,2
u2958,q2958,0.45,0.38,0.39,0.35,0.68,31.0,2
u747,q747,0.26,0.42,0.0,0.26,0.58,109.0,1
u6948,q6948,0.47,0.51,0.45,0.54,0.85,53.0,2
u3498,q3498,0.47,0.55,0.46,0.65,0.76,48.0,1
u5851,q5851,0.64,0.73,0.68,0.56,0.71,31.0,2
u7059,q7059,0.67,0.81,0.62,0.83,0.74,53.0,1
u9398,q9398,0.87,0.95,0.71,0.81,0.98,40.0,2
u7487,q7487,0.73,0.72,0.69,0.63,0.71,87.0,2
u9,q9,0.38,0.35,0.46,0.57,0.66,27.0,2
u6083,q6083,0.56,0.73,0.49,0.5,0.9,79.0,3
u3500,q3500,0.61,0.74,0.4,0.73,0.82,31.0,1
u2484,q2484,0.32,0.32,0.31,0.2,0.5,146.0,1
u3160,q3160,0.63,0.63,0.68,0.59,0.75,58.0,1
u5133,q5133,0.69,0.69,0.61,0.78,0.71,58.0,2
u795,q795,0.25,0.29,0.3,0.37,0.48,25.0,2
u8895,q8895,0.83,0.81,0.94,0.81,0.97,54.0,3
u7481,q7481,0.67,0.84,0.49,0.72,0.82,44.0,1
u529,q529,0.3,0.43,0.03,0.4,0.64,29.0,1
u6062,q6062,0.7,0.6,0.73,0.66,0.98,41.0,1
u9107,q9107,0.93,0.97,0.76,0.91,0.99,35.0,3
u6943,q6943,0.83,0.78,0.73,0.72,0.71,68.0,1
u8758,q8758,0.79,0.94,0.58,0.95,0.97,48.0,2
u9563,q9563,0.95,0.93,0.83,0.86,1.0,36.0,2
u9237,q9237,0.89,0.88,0.82,0.82,0.96,49.0,2
u2468,q2468,0.31,0.4,0.34,0.61,0.62,134.0,1
u3587,q3587,0.72,0.81,0.69,0.59,0.73,63.0,2
u4006,q4006,0.68,0.67,0.76,0.73,0.89,72.0,2
u6283,q6283,0.58,0.6,0.59,0.63,0.97,81.0,2
u9900,q9900,0.81,0.9,0.86,0.88,1.0,22.0,3
u4948,q4948,0.65,0.65,0.68,0.68,0.72,49.0,1
u3904,q3904,0.75,0.63,0.77,0.76,0.99,60.0,1
u9380,q9380,0.83,0.91,0.72,0.79,0.98,59.0,3
u8030,q8030,0.77,0.84,0.8,0.86,0.96,44.0,2
u3102,q3102,0.65,0.8,0.53,0.68,0.79,74.0,2
u2177,q2177,0.2,0.24,0.1,0.64,0.65,36.0,2
u8228,q8228,0.82,0.86,0.69,0.83,0.96,32.0,3
u5521,q5521,0.83,0.76,0.76,0.46,0.98,84.0,1
u6488,q6488,0.74,0.73,0.63,0.7,0.85,54.0,3
u1086,q1086,0.41,0.44,0.27,0.08,0.64,137.0,1
u8224,q8224,0.9,0.95,0.78,0.84,0.97,39.0,2
u216,q216,0.51,0.48,0.57,0.15,0.84,39.0,2
u9011,q9011,0.94,0.89,0.87,0.8,0.99,34.0,2
u1645,q1645,0.26,0.29,0.4,0.54,0.44,130.0,1
u9420,q9420,0.73,0.84,0.68,0.91,0.97,21.0,3
u102,q102,0.43,0.36,0.43,0.43,0.8,28.0,2
u2238,q2238,0.32,0.3,0.48,0.25,0.61,22.0,1
u2687,q2687,0.56,0.45,0.49,0.23,0.82,129.0,1
u6769,q6769,0.56,0.66,0.47,0.52,0.96,62.0,2
u3360,q3360,0.69,0.77,0.71,0.73,0.87,65.0,1
u1781,q1781,0.24,0.26,0.34,0.34,0.35,23.0,1
u3844,q3844,0.72,0.82,0.47,0.56,0.77,45.0,2
u4425,q4425,0.63,0.69,0.42,0.73,0.84,68.0,2
u1157,q1157,0.33,0.33,0.38,0.58,0.38,94.0,2
u2511,q2511,0.37,0.45,0.32,0.4,0.8,148.0,1
u8157,q8157,0.8,0.92,0.87,0.91,0.95,50.0,2
u6359,q6359,0.71,0.57,0.77,0.51,0.83,62.0,2
u1027,q1027,0.27,0.4,0.18,0.45,0.65,132.0,1
u746,q746,0.27,0.33,0.27,0.26,0.73,148.0,2
u996,q996,0.39,0.37,0.3,0.36,0.86,26.0,1
u1579,q1579,0.3,0.33,0.22,0.32,0.68,105.0,1
u3104,q3104,0.67,0.78,0.6,0.65,0.79,56.0,1
u477,q477,0.56,0.46,0.45,0.56,0.65,14.0,1
u7685,q7685,0.81,0.98,0.55,0.45,0.65,78.0,3
u6859,q6859,0.82,0.81,0.62,0.53,0.87,69.0,2
u3769,q3769,0.52,0.65,0.72,0.75,0.9,61.0,3
u5097,q5097,0.66,0.8,0.56,0.6,0.74,76.0,2
u9225,q9225,0.89,0.87,0.93,0.81,0.97,41.0,3
u8247,q8247,0.94,0.94,1.0,0.83,0.96,42.0,2
u2901,q2901,0.3,0.4,0.29,0.38,0.73,144.0,1
u5645,q5645,0.62,0.73,0.5,0.66,0.81,64.0,3
u4680,q4680,0.68,0.55,0.63,0.62,0.83,64.0,1
u239,q239,0.41,0.33,0.33,0.29,0.43,155.0,1
u4737,q4737,0.65,0.75,0.53,0.81,0.96,69.0,2
u4093,q4093,0.64,0.73,0.59,0.71,0.92,61.0,1
u332,q332,0.29,0.31,0.07,0.2,0.54,19.0,1
u1971,q1971,0.39,0.46,0.53,0.64,0.68,112.0,1
u8637,q8637,0.89,0.87,0.95,0.89,1.0,39.0,3
u3528,q3528,0.77,0.79,0.6,0.68,1.0,75.0,2
u2574,q2574,0.33,0.39,0.24,0.58,0.6,20.0,2
u5049,q5049,0.74,0.86,0.6,0.67,0.87,37.0,3
u6747,q6747,0.58,0.69,0.52,0.58,0.8,54.0,2
u8455,q8455,0.85,0.89,0.82,0.87,0.97,40.0,2
u9027,q9027,0.96,0.91,0.98,0.87,1.0,41.0,3
u9245,q9245,0.93,0.93,0.98,0.92,0.96,43.0,2
u9654,q9654,0.9,0.79,0.88,0.86,0.98,46.0,3
u5568,q5568,0.75,0.74,0.62,0.6,0.86,66.0,2
u699,q699,0.46,0.49,0.44,0.23,0.84,26.0,1
u1202,q1202,0.31,0.36,0.14,0.41,0.64,139.0,1
u5974,q5974,0.73,0.72,0.64,0.67,0.76,65.0,2
u9857,q9857,0.75,0.89,0.71,0.85,1.0,38.0,3
u6697,q6697,0.71,0.81,0.52,0.61,0.91,53.0,2
u8552,q8552,0.94,0.92,0.81,0.78,0.97,53.0,2
u6926,q6926,0.73,0.69,0.62,0.49,0.86,60.0,2
u1325,q1325,0.26,0.41,0.19,0.47,0.64,27.0,1
u9185,q9185,0.85,0.87,0.76,0.88,0.97,55.0,2
u8309,q8309,0.87,0.84,0.9,0.76,0.98,41.0,3
u7350,q7350,0.64,0.63,0.63,0.72,0.97,69.0,2
u1586,q1586,0.47,0.47,0.48,0.28,0.35,124.0,1
u1764,q1764,0.27,0.24,0.36,0.49,0.92,22.0,2
u5537,q5537,0.65,0.74,0.56,0.59,0.68,43.0,2
u2380,q2380,0.33,0.43,0.22,0.43,0.61,22.0,1
u2731,q2731,0.46,0.52,0.28,0.33,0.39,117.0,2
u8061,q8061,0.88,0.96,0.78,0.86,0.94,30.0,3
u6345,q6345,0.74,0.76,0.64,0.74,1.0,82.0,2
u2769,q2769,0.31,0.35,0.33,0.41,0.6,93.0,1
u2728,q2728,0.39,0.53,0.27,0.54,0.87,23.0,1
u6804,q6804,0.78,0.79,0.75,0.69,0.97,68.0,2
u1168,q1168,0.42,0.46,0.26,0.38,0.62,24.0,1
u7980,q7980,0.59,0.65,0.5,0.7,0.91,60.0,2
u7883,q7883,0.62,0.69,0.55,0.73,0.91,73.0,2
u1233,q1233,0.36,0.39,0.21,0.44,0.42,139.0,2
u4524,q4524,0.86,0.77,0.82,0.7,0.91,53.0,2
u9843,q9843,0.82,0.86,0.83,0.87,0.96,37.0,2
u7624,q7624,0.7,0.7,0.57,0.6,0.92,47.0,1
u9379,q9379,0.85,0.89,0.87,0.91,0.96,38.0,3
u9574,q9574,0.88,0.83,0.89,0.9,0.95,36.0,3
u2863,q2863,0.28,0.29,0.25,0.34,0.72,23.0,2
u6901,q6901,0.67,0.76,0.62,0.8,0.85,47.0,3
u2049,q2049,0.39,0.37,0.47,0.21,0.56,23.0,2
u376,q376,0.22,0.32,0.15,0.56,0.39,122.0,1
u8405,q8405,0.89,0.94,0.9,0.79,0.99,31.0,3
u1052,q1052,0.37,0.44,0.33,0.46,0.73,142.0,1
u7006,q7006,0.61,0.68,0.66,0.9,0.89,60.0,2
u9935,q9935,0.95,0.9,0.88,0.8,1.0,38.0,2
u2414,q2414,0.37,0.31,0.43,0.44,0.65,135.0,1
u4454,q4454,0.7,0.77,0.78,0.52,0.85,58.0,3
u5039,q5039,0.71,0.71,0.7,0.57,0.94,35.0,1
u8377,q8377,0.85,0.92,0.9,0.97,0.98,62.0,2
u2482,q2482,0.53,0.57,0.37,0.4,0.67,21.0,2
u4494,q4494,0.69,0.76,0.5,0.8,0.89,54.0,3
u9990,q9990,0.8,0.82,0.7,0.87,0.94,26.0,3
u3699,q3699,0.54,0.55,0.35,0.67,0.83,68.0,2
u6874,q6874,0.68,0.61,0.71,0.62,1.0,52.0,1
u1349,q1349,0.18,0.26,0.16,0.26,0.76,27.0,2
u2941,q2941,0.29,0.5,0.1,0.61,0.8,27.0,1
u8127,q8127,0.84,0.87,0.76,0.77,0.98,47.0,3
u9309,q9309,0.85,0.84,0.69,0.87,0.98,42.0,3
u9803,q9803,0.93,0.98,0.79,0.81,1.0,27.0,3
u7051,q7051,0.67,0.62,0.75,0.64,0.84,57.0,1
u5099,q5099,0.72,0.72,0.77,0.68,0.78,48.0,2
u6262,q6262,0.66,0.64,0.55,0.61,0.79,58.0,1
u2803,q2803,0.44,0.43,0.24,0.47,0.5,180.0,1
u1432,q1432,0.19,0.48,0.0,0.19,0.81,220.0,2
u5651,q5651,0.5,0.54,0.54,0.53,0.77,60.0,1
u3987,q3987,0.61,0.62,0.63,0.49,0.9,60.0,2
u3723,q3723,0.68,0.79,0.72,0.42,0.61,62.0,1
u6722,q6722,0.44,0.53,0.43,0.58,0.78,44.0,2
u1577,q1577,0.19,0.24,0.12,0.08,0.56,135.0,1
u3221,q3221,0.66,0.82,0.51,0.79,0.94,41.0,2
u3872,q3872,0.54,0.57,0.46,0.49,0.83,63.0,2
u7261,q7261,0.75,0.82,0.68,0.57,0.95,41.0,2
u5316,q5316,0.6,0.52,0.64,0.69,0.77,64.0,2
u4590,q4590,0.59,0.81,0.45,0.54,0.78,66.0,2
u2236,q2236,0.54,0.47,0.61,0.52,0.64,18.0,2
u1747,q1747,0.38,0.5,0.32,0.61,0.56,133.0,1
u9162,q9162,0.87,0.89,0.9,0.8,0.94,49.0,2
u2056,q2056,0.26,0.32,0.13,0.47,0.45,99.0,1
u9644,q9644,0.86,0.9,0.86,0.76,1.0,47.0,3
u8303,q8303,0.82,0.83,0.93,0.86,0.97,30.0,3
u3453,q3453,0.48,0.61,0.5,0.75,0.74,91.0,3
u165,q165,0.39,0.5,0.13,0.64,0.79,126.0,1
u6548,q6548,0.66,0.64,0.59,0.48,0.74,60.0,2
u2481,q2481,0.43,0.34,0.59,0.35,0.6,21.0,1
u4452,q4452,0.6,0.66,0.65,0.73,0.81,52.0,2
u3014,q3014,0.72,0.66,0.69,0.72,0.83,71.0,3
u7341,q7341,0.65,0.54,0.8,0.64,0.98,27.0,2
u2360,q2360,0.34,0.44,0.26,0.31,0.66,95.0,1
u2770,q2770,0.23,0.38,0.06,0.52,0.38,28.0,2
u754,q754,0.4,0.51,0.23,0.45,0.67,115.0,1
u4304,q4304,0.6,0.56,0.76,0.77,1.0,54.0,3
u5945,q5945,0.68,0.75,0.72,0.57,0.82,63.0,2
u9304,q9304,0.8,0.88,0.84,0.85,0.96,45.0,3
u824,q824,0.37,0.36,0.33,0.48,0.51,33.0,2
u7563,q7563,0.61,0.7,0.52,0.69,0.9,71.0,3
u6894,q6894,0.61,0.58,0.72,0.54,0.8,34.0,3
u7150,q7150,0.68,0.73,0.71,0.56,0.79,89.0,3
u4411,q4411,0.8,0.68,0.81,0.63,0.86,59.0,2
u8434,q8434,0.82,0.86,0.86,0.89,0.99,36.0,2
u5715,q5715,0.67,0.77,0.49,0.67,0.88,56.0,2
u1623,q1623,0.38,0.49,0.17,0.28,0.69,119.0,1
u6788,q6788,0.67,0.68,0.73,0.51,0.79,53.0,2
u2925,q2925,0.3,0.41,0.04,0.23,0.5,156.0,1
u8369,q8369,0.8,0.94,0.59,0.85,1.0,48.0,3
u9370,q9370,0.95,0.95,0.92,0.9,1.0,37.0,3
u8628,q8628,0.84,0.95,0.75,0.85,0.98,20.0,3
u3351,q3351,0.47,0.58,0.36,0.57,0.76,81.0,1
u5707,q5707,0.75,0.72,0.74,0.7,0.95,44.0,2
u9119,q9119,0.74,0.86,0.73,0.81,1.0,45.0,3
u5719,q5719,0.61,0.8,0.46,0.72,0.89,58.0,1
u5841,q5841,0.66,0.61,0.74,0.74,0.84,75.0,2
u2060,q2060,0.24,0.42,0.24,0.25,0.76,138.0,1
u9284,q9284,0.97,0.92,0.94,0.85,0.99,46.0,2
u6674,q6674,0.63,0.68,0.6,0.89,0.86,43.0,2
u851,q851,0.33,0.34,0.22,0.23,0.47,154.0,1
u9014,q9014,0.87,1.0,0.67,0.85,1.0,40.0,3
u2701,q2701,0.44,0.44,0.3,0.64,0.72,124.0,2
u2203,q2203,0.47,0.47,0.32,0.32,0.47,29.0,1
u6185,q6185,0.56,0.58,0.6,0.78,0.95,52.0,2
u4621,q4621,0.54,0.64,0.65,0.62,0.84,40.0,3
u7098,q7098,0.74,0.71,0.7,0.45,0.95,49.0,2
u1738,q1738,0.22,0.29,0.31,0.48,0.4,108.0,2
u4575,q4575,0.61,0.75,0.56,0.53,0.9,57.0,3
u1772,q1772,0.38,0.57,0.15,0.37,0.92,32.0,1
u4446,q4446,0.72,0.71,0.45,0.68,0.94,62.0,2
u1925,q1925,0.47,0.61,0.37,0.35,0.61,135.0,1
u1479,q1479,0.29,0.31,0.09,0.69,0.98,151.0,1
u2330,q2330,0.32,0.48,0.04,0.38,0.51,120.0,1
u8097,q8097,0.9,0.98,0.87,0.86,0.99,43.0,3
u1134,q1134,0.43,0.45,0.49,0.41,0.55,36.0,1
u8403,q8403,0.88,0.87,0.88,0.9,1.0,48.0,2
u8454,q8454,0.87,0.91,0.86,0.84,0.99,47.0,2
u8498,q8498,0.9,0.94,0.88,0.82,0.97,35.0,3
u3380,q3380,0.57,0.66,0.35,0.61,0.91,47.0,3
u7827,q7827,0.8,0.78,0.68,0.55,0.93,45.0,2
u9169,q9169,0.88,0.89,0.78,0.74,0.93,27.0,2
u3604,q3604,0.55,0.64,0.45,0.64,0.83,63.0,2
u6618,q6618,0.67,0.73,0.71,0.6,0.97,59.0,1
u657,q657,0.44,0.4,0.3,0.21,0.72,123.0,1
u5704,q5704,0.85,0.87,0.8,0.66,0.94,48.0,1
u2549,q2549,0.42,0.5,0.23,0.33,0.89,24.0,2
u4017,q4017,0.46,0.56,0.46,0.61,1.0,28.0,2
u373,q373,0.51,0.55,0.52,0.57,0.48,141.0,1
u335,q335,0.49,0.5,0.51,0.38,0.7,144.0,2
u9877,q9877,0.99,0.95,0.87,0.8,0.98,26.0,3
u1211,q1211,0.29,0.28,0.26,0.76,0.54,128.0,2
u5050,q5050,0.73,0.8,0.61,0.53,1.0,53.0,1
u4282,q4282,0.78,0.85,0.67,0.6,0.82,69.0,2
u4058,q4058,0.73,0.88,0.6,0.63,0.96,39.0,3
u3466,q3466,0.69,0.74,0.45,0.64,0.99,27.0,3
u2039,q2039,0.52,0.4,0.54,0.39,0.63,28.0,2
u5846,q5846,0.63,0.53,0.82,0.62,0.66,72.0,3
u4255,q4255,0.54,0.7,0.39,0.57,0.78,67.0,3
u3785,q3785,0.58,0.74,0.39,0.57,0.69,58.0,2
u8880,q8880,0.99,0.89,0.98,0.76,0.98,52.0,3
u5478,q5478,0.48,0.65,0.57,0.47,0.96,60.0,3
u6478,q6478,0.51,0.56,0.45,0.46,0.89,49.0,3
u7991,q7991,0.76,0.71,0.67,0.63,0.79,47.0,1
u5771,q5771,0.69,0.71,0.68,0.52,0.73,78.0,2
u2389,q2389,0.39,0.49,0.1,0.31,0.72,35.0,1
u1123,q1123,0.37,0.46,0.44,0.33,0.74,25.0,1
u7966,q7966,0.72,0.64,0.92,0.63,0.75,62.0,2
u4697,q4697,0.47,0.49,0.54,0.63,0.9,32.0,2
u9781,q9781,0.85,0.96,0.74,0.87,0.96,50.0,3
u9486,q9486,0.83,0.93,0.69,0.87,1.0,36.0,3
u2323,q2323,0.36,0.45,0.46,0.67,0.63,138.0,1
u9506,q9506,0.88,1.0,1.0,0.83,1.0,57.0,3
u8692,q8692,0.96,0.97,0.89,0.88,0.99,50.0,3
u8655,q8655,0.76,0.86,0.74,0.86,0.98,34.0,2
u4004,q4004,0.49,0.55,0.44,0.68,0.76,70.0,2
u3369,q3369,0.73,0.75,0.73,0.72,0.75,59.0,3
u4518,q4518,0.72,0.73,0.59,0.64,0.79,86.0,2
u7209,q7209,0.67,0.75,0.3,0.69,0.83,66.0,2
u2105,q2105,0.26,0.28,0.36,0.23,0.74,126.0,1
u7007,q7007,0.84,0.77,0.75,0.57,0.76,65.0,2
u5359,q5359,0.58,0.51,0.78,0.7,0.81,58.0,2
u5838,q5838,0.71,0.61,0.93,0.66,0.98,87.0,3
u4161,q4161,0.63,0.77,0.49,0.62,0.78,62.0,3
u9591,q9591,0.91,0.97,0.94,0.92,0.96,49.0,2
u8527,q8527,0.92,0.88,0.91,0.87,0.97,29.0,3
u8560,q8560,0.93,0.88,0.94,0.87,1.0,40.0,2
u1364,q1364,0.37,0.3,0.48,0.32,0.35,105.0,1
u8535,q8535,0.89,0.91,0.79,0.85,0.96,33.0,2
u3467,q3467,0.61,0.57,0.49,0.57,0.92,60.0,3
u7636,q7636,0.75,0.9,0.56,0.69,0.75,34.0,2
u5761,q5761,0.74,0.68,0.7,0.68,0.67,81.0,2
u174,q174,0.44,0.43,0.42,0.2,0.37,35.0,2
u6586,q6586,0.54,0.52,0.57,0.49,0.84,61.0,1
u1226,q1226,0.3,0.39,0.38,0.23,0.78,122.0,2
u9945,q9945,0.88,0.83,0.9,0.83,1.0,44.0,3
u1055,q1055,0.25,0.34,0.15,0.42,0.38,25.0,1
u3763,q3763,0.53,0.57,0.64,0.74,1.0,39.0,2
u8773,q8773,0.94,0.97,0.82,0.83,0.99,47.0,3
u6567,q6567,0.59,0.65,0.52,0.63,0.89,72.0,2
u9691,q9691,0.94,0.9,0.9,0.84,0.96,50.0,3
u6650,q6650,0.55,0.63,0.55,0.69,0.7,67.0,2
u9004,q9004,0.88,0.89,0.81,0.87,0.97,23.0,3
u9993,q9993,0.83,0.94,0.69,0.86,0.99,49.0,3
u9221,q9221,0.82,0.82,0.76,0.9,0.93,44.0,3
u6491,q6491,0.74,0.78,0.67,0.49,0.72,68.0,2
u8567,q8567,0.84,0.91,0.81,0.88,0.96,32.0,3
u235,q235,0.43,0.61,0.11,0.37,0.84,26.0,2
u2554,q2554,0.43,0.44,0.4,0.4,0.83,30.0,1
u9276,q9276,0.92,0.94,0.88,0.85,0.96,21.0,3
u4695,q4695,0.51,0.53,0.51,0.69,0.76,72.0,2
u1736,q1736,0.33,0.24,0.44,0.15,0.0,159.0,1
u9483,q9483,0.98,0.88,0.98,0.97,0.97,42.0,3
u8187,q8187,0.84,0.92,0.69,0.89,1.0,55.0,3
u2618,q2618,0.31,0.41,0.25,0.51,0.78,23.0,1
u5395,q5395,0.61,0.69,0.53,0.42,1.0,41.0,2
u5663,q5663,0.88,0.85,0.91,0.66,1.0,49.0,3
u673,q673,0.25,0.37,0.13,0.46,0.39,27.0,1
u8682,q8682,0.84,0.9,0.95,0.87,0.98,45.0,3
u3882,q3882,0.59,0.68,0.47,0.46,0.69,49.0,2
u9668,q9668,0.83,0.9,0.75,0.79,0.96,33.0,3
u9143,q9143,0.87,0.95,0.83,0.86,0.95,61.0,3
u760,q760,0.35,0.47,0.3,0.42,0.49,28.0,2
u9306,q9306,0.75,0.82,0.76,0.98,0.94,28.0,3
u5260,q5260,0.61,0.65,0.5,0.68,0.84,38.0,2
u8012,q8012,0.89,0.9,0.97,0.78,0.97,44.0,3
u3001,q3001,0.68,0.76,0.55,0.55,0.81,80.0,2
u8798,q8798,0.88,1.0,0.72,0.89,1.0,62.0,2
u7527,q7527,0.65,0.73,0.59,0.69,0.68,42.0,1
u9409,q9409,0.89,0.84,1.0,0.81,0.94,43.0,2
u2358,q2358,0.3,0.41,0.16,0.27,0.73,26.0,1
u6161,q6161,0.77,0.75,0.84,0.85,0.88,46.0,2
u4725,q4725,0.65,0.73,0.44,0.59,0.88,50.0,1
u9606,q9606,0.83,0.97,0.57,0.88,0.95,27.0,3
u9802,q9802,0.76,0.83,0.67,0.89,0.99,38.0,3
u7959,q7959,0.72,0.63,0.56,0.71,0.94,66.0,1
u5815,q5815,0.7,0.74,0.45,0.68,0.75,76.0,2
u5447,q5447,0.77,0.71,0.7,0.75,0.92,66.0,2
u95,q95,0.26,0.36,0.17,0.41,0.84,26.0,1
u7957,q7957,0.59,0.57,0.75,0.64,0.97,82.0,2
u6010,q6010,0.74,0.78,0.68,0.76,0.84,78.0,2
u4066,q4066,0.62,0.74,0.4,0.49,0.87,49.0,1
u8212,q8212,0.83,0.92,0.77,0.9,0.97,40.0,3
u8074,q8074,0.9,0.77,0.89,0.81,0.97,32.0,2
u691,q691,0.38,0.36,0.38,0.47,0.7,32.0,2
u5294,q5294,0.86,0.75,0.79,0.72,0.73,56.0,3
u7600,q7600,0.64,0.5,0.79,0.79,1.0,85.0,2
u7649,q7649,0.73,0.68,0.57,0.56,1.0,51.0,2
u179,q179,0.35,0.37,0.45,0.64,0.39,103.0,2
u562,q562,0.5,0.61,0.19,0.6,0.44,124.0,1
u6018,q6018,0.76,0.86,0.75,0.72,0.93,74.0,3
u6247,q6247,0.57,0.63,0.49,0.87,0.89,85.0,2
u3492,q3492,0.74,0.81,0.75,0.76,0.75,44.0,2
u4779,q4779,0.82,0.75,0.78,0.63,0.98,51.0,1
u8201,q8201,0.83,0.9,0.73,0.8,0.99,40.0,3
u8620,q8620,1.0,0.97,0.92,0.87,0.96,30.0,3
u6690,q6690,0.63,0.66,0.55,0.79,0.79,48.0,1
u6893,q6893,0.75,0.75,0.72,0.67,0.83,58.0,2
u1466,q1466,0.3,0.46,0.13,0.27,0.46,19.0,1
u3370,q3370,0.51,0.58,0.24,0.63,0.84,74.0,2
u8069,q8069,0.88,0.85,0.78,0.88,1.0,46.0,3
u3313,q3313,0.73,0.77,0.57,0.71,0.86,36.0,3
u6408,q6408,0.78,0.82,0.67,0.6,0.76,49.0,2
u5067,q5067,0.69,0.76,0.61,0.76,1.0,73.0,2
u1032,q1032,0.22,0.23,0.09,0.32,0.79,139.0,2
u2532,q2532,0.22,0.31,0.19,0.18,0.68,133.0,2
u7574,q7574,0.75,0.79,0.88,0.89,0.89,42.0,2
u4308,q4308,0.58,0.76,0.46,0.64,1.0,51.0,2
u8044,q8044,0.96,0.93,0.83,0.93,0.99,51.0,3
u2270,q2270,0.44,0.39,0.41,0.52,0.85,126.0,2
u3163,q3163,0.73,0.77,0.68,0.59,0.73,45.0,2
u9938,q9938,0.85,0.89,0.68,0.95,0.97,50.0,2
u385,q385,0.41,0.32,0.47,0.47,0.46,21.0,1
u9724,q9724,0.88,0.95,0.94,0.82,0.99,39.0,2
u3288,q3288,0.71,0.65,0.78,0.5,0.89,24.0,2
u9227,q9227,0.88,0.91,0.9,0.91,0.99,48.0,3
u2533,q2533,0.45,0.46,0.5,0.47,0.47,34.0,1
u8747,q8747,0.92,0.92,0.73,0.81,1.0,38.0,3
u3932,q3932,0.58,0.72,0.44,0.75,0.82,68.0,2
u4442,q4442,0.76,0.89,0.66,0.63,0.87,61.0,1
u1154,q1154,0.28,0.27,0.19,0.5,0.32,23.0,1
u3585,q3585,0.74,0.78,0.71,0.75,0.64,50.0,2
u3087,q3087,0.72,0.67,0.72,0.83,0.89,61.0,1
u6515,q6515,0.62,0.64,0.7,0.77,0.86,77.0,2
u4873,q4873,0.63,0.62,0.84,0.78,0.76,36.0,2
u6591,q6591,0.61,0.67,0.63,0.65,0.82,49.0,2
u7124,q7124,0.6,0.58,0.6,0.82,0.75,36.0,2
u1151,q1151,0.26,0.3,0.29,0.5,0.61,16.0,2
